date,reason,duration,affiliation,status
5/15/2023,Research,0.25,Nursing,Student
5/10/2023,Research,0.25,Nursing,Student
5/9/2023,Research,0.5,Medicine,Faculty
5/9/2023,Other,0.5,Social Work,Student
5/5/2023,Class Assignment,1,Social Work,Student
5/2/2023,Research,0.75,Medicine,Student
4/28/2023,Research,1,Medicine,Faculty
4/26/2023,Research,1,Medicine,Student
4/26/2023,Research,0.75,Medicine,Staff
4/25/2023,Research,0.75,Pharmacy,Staff
4/25/2023,Class Assignment,0.5,Graduate School,Student
4/19/2023,Class Assignment,1.25,Social Work,Student
4/19/2023,Class Assignment,0.45,Nursing,Student
4/18/2023,Class Assignment,0.25,Social Work,Student
4/18/2023,Research,0.75,Nursing,Student
4/17/2023,Class Assignment,0.5,Nursing,Student
4/14/2023,Research,1,Graduate School,Student
4/14/2023,Research,0.25,Pharmacy,Faculty
4/10/2023,Research,0.75,UMMC,Staff
4/7/2023,Class Assignment,0.5,Graduate School,Student
4/6/2023,Class Assignment,0.75,Nursing,Student
4/4/2023,Class Assignment,0.5,Social Work,Student
4/4/2023,Research,1,Dental,Faculty
4/3/2023,Class Assignment,0.5,Nursing,Student
4/3/2023,Research,1.25,Nursing,Student
4/3/2023,Class Assignment,0.5,Nursing,Student
4/3/2023,Class Assignment,0.25,Social Work,Student
3/31/2023,Class Assignment,1,Nursing,Student
3/31/2023,Class Assignment,0.25,Nursing,Student
3/30/2023,Class Assignment,0.25,Nursing,Student
3/29/2023,Class Assignment,0.5,Social Work,Student
3/29/2023,Research,0.5,Nursing,Faculty
3/29/2023,Research,0.5,Medicine,Faculty
3/27/2023,Class Assignment,0.5,Graduate School,Student
3/27/2023,Class Assignment,0.5,Graduate School,Student
3/24/2023,Class Assignment,0.5,Nursing,Student
3/22/2023,Class Assignment,0.75,Graduate School,Student
3/22/2023,Class Assignment,0.5,Graduate School,Student
3/21/2023,Class Assignment,0.5,Graduate School,Student
3/20/2023,Class Assignment,0.75,Social Work,Student
3/20/2023,Class Assignment,0.25,Graduate School,Student
3/20/2023,Class Assignment,0.5,Graduate School,Student
3/20/2023,Class Assignment,0.5,Graduate School,Student
3/20/2023,Class Assignment,0.25,Graduate School,Student
3/20/2023,Class Assignment,0.5,Graduate School,Student
3/20/2023,Research,0.5,Social Work,Other
3/17/2023,Class Assignment,1.25,Nursing,Student
3/17/2023,Class Assignment,0.25,Nursing,Student
3/17/2023,Class Assignment,0.5,Graduate School,Student
3/17/2023,Class Assignment,0.75,Nursing,Student
3/17/2023,Research,0.5,Pharmacy,Student
3/16/2023,Class Assignment,0.25,Nursing,Student
3/16/2023,Class Assignment,0.5,Nursing,Student
3/16/2023,Class Assignment,0.5,Nursing,Student
3/16/2023,Class Assignment,0.25,Nursing,Student
3/15/2023,Research,0.25,Social Work,Faculty
3/13/2023,Class Assignment,0.5,Nursing,Student
3/13/2023,Class Assignment,1.5,Nursing,Student
3/13/2023,Class Assignment,1,Nursing,Student
3/13/2023,Class Assignment,0.75,Nursing,Student
3/10/2023,Class Assignment,0.5,Nursing,Student
3/10/2023,Class Assignment,1,Nursing,Student
3/9/2023,Research,0.5,Nursing,Student
3/9/2023,Class Assignment,0.5,Nursing,Student
3/8/2023,Class Assignment,0.5,Nursing,Student
3/8/2023,Class Assignment,1,Nursing,Student
3/7/2023,Research,0.5,Graduate School,Staff
3/2/2023,Class Assignment,1,Medicine,Student
3/2/2023,Research,1,Social Work,Faculty
3/1/2023,Class Assignment,0.3,Nursing,Student
3/1/2023,Research,0.5,Pharmacy,Faculty
2/28/2023,Class Assignment,0.25,Nursing,Student
2/27/2023,Research,1,Dental,Faculty
2/24/2023,Class Assignment,1,Nursing,Student
2/24/2023,Research,0.5,Graduate School,Student
2/23/2023,Research,0.75,Social Work,Student
2/23/2023,Class Assignment,0.75,Nursing,Student
2/23/2023,Class Assignment,0.5,Nursing,Student
2/22/2023,Research,1,Nursing,Other
2/22/2023,Research,0.25,Medicine,Faculty
2/21/2023,Class Assignment,0.5,Social Work,Student
2/21/2023,Class Assignment,0.25,Social Work,Student
2/20/2023,Class Assignment,0.25,Nursing,Student
2/17/2023,Class Assignment,1,Nursing,Student
2/17/2023,Research,0.5,Nursing,Other
2/17/2023,Class Assignment,0.25,Nursing,Student
2/17/2023,Research,0.75,Nursing,Student
